user_id,server_id,request_id,request_type,message
01000101,01100111,00111111,11010000,01110111
10101110,00111111,10001100,10011111,11010000
10101100,10011001,01000001,01101000,00111111
10011011,00001100,01010010,01111011,11011110
01000010,00001110,01000011,01000010,11010101
11011111,01000010,10011000,10011111,10101101
00110110,01011010,00100010,01101000,00011101
01111011,11010010,11000111,11010000,11001100
00100111,10010110,10101010,10011111,01100001
00000111,11000011,00100111,01111011,00001001
10011011,10011111,00001100,01000010,01000010
00110101,01000011,01000000,11010000,10111001
01010111,01000110,00111000,10011111,10000001
01111010,10011001,01110101,01101000,10000010
00010000,01011110,11011111,01111011,01101111
01000100,00010100,01100000,01000010,01110011
